Feature,Importance
N_N_kappa_min_mean,0.0012012928751310465
C_S_K_max,0.0012010368539563726
S_N_surface_area_min,0.0011994194838715192
O_N_H_min,0.0011949938166855795
H_S_K_max,0.0011936063635823104
O_N_volume_sum,0.001191991151264391
C_O_K_max,0.0011908018436245695
N_N_K_mean,0.0011893296830441922
O_O_K_std,0.001188665844494648
N_C_kappa_max_min,0.0011872975660513355
C_S_kappa_min_max,0.0011860363521405636
O_N_volume_max,0.001186032521929248
H_N_K_mean,0.0011855342831513416
N_C_kappa_min_min,0.0011847132300519243
N_C_K_sum,0.0011845393763477705
O_O_volume_sum,0.0011834875710719302
N_O_kappa_min_min,0.0011828382484012148
H_S_surface_area_min,0.0011801741878066747
N_S_surface_area_min,0.0011750599917428196
N_N_kappa_min_sum,0.0011716498606940341
N_O_kappa_min_sum,0.001170866540942139
C_S_H_max,0.001168700359114983
O_C_kappa_min_median,0.0011677917490310109
H_N_H_std,0.0011670012287419479
N_N_K_min,0.001161624753990667
H_S_kappa_min_min,0.0011616076460994986
N_C_H_median,0.0011584348642349146
C_C_kappa_max_mean,0.0011564764553361013
H_S_H_sum,0.001155892266595011
H_S_K_sum,0.001155750554531287
C_C_kappa_min_mean,0.0011539610889202607
H_S_kappa_min_mean,0.0011497165558041257
O_S_kappa_max_sum,0.0011485183912875812
O_O_volume_max,0.0011481533228426656
O_O_kappa_min_mean,0.0011467813768086998
O_O_surface_area_max,0.0011442723250817068
C_S_volume_median,0.0011439080212653394
C_O_K_min,0.0011428274567826153
H_C_H_min,0.001140590809690584
N_N_kappa_min_min,0.001139798014208638
O_N_kappa_max_min,0.0011379889735035015
N_C_surface_area_std,0.0011362423193424153
C_S_kappa_max_min,0.0011354944303850296
C_S_surface_area_median,0.0011352782636468177
O_S_K_sum,0.001134787687787204
C_S_volume_max,0.0011345658089797748
O_O_kappa_min_min,0.0011316248925756266
O_N_K_mean,0.0011316233831393215
H_S_H_max,0.00113003578075595
N_N_kappa_max_mean,0.001128683784528078
N_O_H_mean,0.0011267696775234515
C_S_kappa_max_max,0.0011257182765427231
N_C_surface_area_max,0.0011253237798279701
O_O_H_std,0.0011217102143060145
N_N_volume_median,0.0011178399054586922
O_O_surface_area_mean,0.0011173887359875632
C_S_H_median,0.0011163457009265006
O_C_volume_min,0.0011129119176746163
O_C_kappa_min_std,0.0011055444014452286
H_S_surface_area_median,0.001105404079044335
C_O_K_sum,0.0011026025329102654
N_N_kappa_max_std,0.0011015033289624124
H_N_kappa_min_min,0.0011012393785249724
C_S_kappa_max_mean,0.0011006895168765684
O_S_K_max,0.0011002248907683735
H_S_volume_max,0.0010990977686493658
N_O_volume_sum,0.0010961363865773202
H_S_volume_sum,0.0010943629990073094
O_N_surface_area_max,0.0010905832998068061
N_N_H_min,0.0010892082771975231
N_C_volume_min,0.001085891287677989
C_S_kappa_min_std,0.001081568505482775
N_S_K_max,0.0010810244729445111
O_C_volume_max,0.0010784806915132106
H_S_kappa_min_sum,0.0010779669905172672
O_S_volume_median,0.0010773358746864726
O_O_volume_median,0.00107718246889093
H_S_volume_min,0.0010769985493373072
C_S_surface_area_max,0.0010758636063400656
O_C_volume_sum,0.001070281498077409
N_S_kappa_min_median,0.001066408836943146
S_O_surface_area_median,0.0010659104848305353
O_N_kappa_min_std,0.0010633920116521686
N_C_K_mean,0.001060718932515039
H_N_volume_mean,0.0010593131807651408
S_O_K_median,0.0010545663952114355
N_O_H_min,0.00105317048931172
O_S_surface_area_median,0.001051733500123221
N_S_H_mean,0.0010498179611707953
N_C_kappa_min_mean,0.0010493865305769344
C_S_volume_min,0.0010462053552769133
O_N_H_mean,0.0010456799871304185
S_N_surface_area_mean,0.0010426495575226757
O_S_K_min,0.00104124804866652
O_C_K_median,0.0010359682090672186
S_C_kappa_min_max,0.0010322459363668927
N_C_surface_area_median,0.0010312786430209948
H_S_volume_mean,0.001028626322082842
C_S_volume_sum,0.0010271134313722017
C_S_surface_area_std,0.001026313952576201
O_S_surface_area_std,0.0010258812262465826
N_N_H_sum,0.001025745788398749
S_O_kappa_min_sum,0.0010248553318297751
O_O_volume_mean,0.0010245089753623507
H_N_K_std,0.0010219796278046463
H_N_K_sum,0.00102189932443232
O_S_kappa_min_mean,0.0010191366635957466
C_S_kappa_min_median,0.0010185717147092762
C_S_H_std,0.0010175313834071354
C_S_K_std,0.0010151491521265207
H_S_kappa_min_max,0.0010144812848959005
O_O_volume_min,0.001013825875956901
N_C_kappa_min_sum,0.0010107162596750495
N_C_kappa_max_median,0.0010097437871661023
N_C_K_std,0.0010084812609948708
H_S_kappa_min_median,0.0010079113675362911
H_S_surface_area_sum,0.0010073235585597372
H_S_kappa_max_max,0.0010060144836808664
C_N_K_mean,0.0010043824070414935
O_S_surface_area_max,0.0010009172111214942
C_S_H_min,0.0010001413326918387
O_S_surface_area_mean,0.0009991547131454018
H_S_H_std,0.000995786763386044
C_N_volume_median,0.0009951731930801443
S_O_kappa_min_mean,0.0009941449348955984
O_C_volume_median,0.0009930325658355711
